target,k,basket,ols_beta,resid_var,r_squared,adf_p,half_life,S_idx,target_idx,basket_str
SNACKPACK_RASPBERRY,1,['SNACKPACK_VANILLA'],[0.020875878433774257],28821.89420977364,0.0004816049304139369,0.0012530643385654187,623.6196636162139,[1],4,SNACKPACK_RASPBERRY − 0.021*SNACKPACK_VANILLA
SNACKPACK_RASPBERRY,1,['SNACKPACK_CHOCOLATE'],[0.03898291828457768],28774.55040704457,0.002123447113853816,0.001287925037499538,624.3615512412463,[0],4,SNACKPACK_RASPBERRY − 0.039*SNACKPACK_CHOCOLATE
SNACKPACK_RASPBERRY,1,['SNACKPACK_PISTACHIO'],[-0.45045897125152756],21702.727044654537,0.2473681727361815,0.005081125043858599,752.7071596322564,[2],4,SNACKPACK_RASPBERRY + 0.450*SNACKPACK_PISTACHIO
SNACKPACK_RASPBERRY,1,['SNACKPACK_STRAWBERRY'],[-0.19318498476125087],23902.728784227627,0.17107401275197343,0.00598315949254069,757.7622557903201,[3],4,SNACKPACK_RASPBERRY + 0.193*SNACKPACK_STRAWBERRY
SNACKPACK_PISTACHIO,1,['SNACKPACK_STRAWBERRY'],[-0.22754657180491056],28309.222312172224,0.19469041032429824,0.006491815593965105,806.1858636656682,[3],2,SNACKPACK_PISTACHIO + 0.228*SNACKPACK_STRAWBERRY
SNACKPACK_CHOCOLATE,1,['SNACKPACK_STRAWBERRY'],[-0.29871267538249974],28498.111664888544,0.29271963546397206,0.00920045320423261,801.9003296027994,[3],0,SNACKPACK_CHOCOLATE + 0.299*SNACKPACK_STRAWBERRY
SNACKPACK_CHOCOLATE,1,['SNACKPACK_PISTACHIO'],[0.5036534841338649],31375.319797909004,0.22131164741555787,0.011833731898305033,876.1864707033151,[2],0,SNACKPACK_CHOCOLATE − 0.504*SNACKPACK_PISTACHIO
SNACKPACK_PISTACHIO,1,['SNACKPACK_CHOCOLATE'],[0.4394125214802167],27373.400202634202,0.22131164741555787,0.012381923957786112,991.1357413194905,[0],2,SNACKPACK_PISTACHIO − 0.439*SNACKPACK_CHOCOLATE
SNACKPACK_STRAWBERRY,1,['SNACKPACK_PISTACHIO'],[-0.8556068710682144],106446.62731134781,0.19469041032429835,0.014694199981169222,953.6785611818507,[2],3,SNACKPACK_STRAWBERRY + 0.856*SNACKPACK_PISTACHIO
SNACKPACK_VANILLA,1,['SNACKPACK_PISTACHIO'],[-0.29814299063255073],28741.666836457836,0.09805757317340147,0.015372595904457928,879.0568995279405,[2],1,SNACKPACK_VANILLA + 0.298*SNACKPACK_PISTACHIO
SNACKPACK_STRAWBERRY,1,['SNACKPACK_CHOCOLATE'],[-0.9799371087589319],93489.02624979184,0.29271963546397217,0.022151501093965326,1083.5866603735144,[0],3,SNACKPACK_STRAWBERRY + 0.980*SNACKPACK_CHOCOLATE
SNACKPACK_VANILLA,1,['SNACKPACK_STRAWBERRY'],[0.1396056021518199],29290.238391813433,0.0808428457624687,0.023923883564354875,968.9360900625613,[3],1,SNACKPACK_VANILLA − 0.140*SNACKPACK_STRAWBERRY
SNACKPACK_PISTACHIO,1,['SNACKPACK_VANILLA'],[-0.3288944441234693],31706.177352360308,0.09805757317340147,0.028356870198945207,1182.00081944644,[1],2,SNACKPACK_PISTACHIO + 0.329*SNACKPACK_VANILLA
SNACKPACK_VANILLA,1,['SNACKPACK_RASPBERRY'],[0.023069924072503294],31851.062610589557,0.00048160493041404795,0.03846451002559417,1075.1044143807967,[4],1,SNACKPACK_VANILLA − 0.023*SNACKPACK_RASPBERRY
SNACKPACK_CHOCOLATE,1,['SNACKPACK_RASPBERRY'],[0.05447121989053224],40206.96580567221,0.002123447113853927,0.06858152765047838,1300.2981712392996,[4],0,SNACKPACK_CHOCOLATE − 0.054*SNACKPACK_RASPBERRY
SNACKPACK_STRAWBERRY,1,['SNACKPACK_VANILLA'],[0.5790802411679206],121495.11230467552,0.08084284576246858,0.09598715718419065,1822.4552192971125,[1],3,SNACKPACK_STRAWBERRY − 0.579*SNACKPACK_VANILLA
SNACKPACK_PISTACHIO,1,['SNACKPACK_RASPBERRY'],[-0.5491469557125456],26457.429528199136,0.2473681727361815,0.1548058314208534,2750.4457341674783,[4],2,SNACKPACK_PISTACHIO + 0.549*SNACKPACK_RASPBERRY
SNACKPACK_STRAWBERRY,1,['SNACKPACK_RASPBERRY'],[-0.8855450798280025],109568.26637171247,0.17107401275197331,0.16791742749425476,6138.896105197635,[4],3,SNACKPACK_STRAWBERRY + 0.886*SNACKPACK_RASPBERRY
SNACKPACK_VANILLA,1,['SNACKPACK_CHOCOLATE'],[-0.8233902614077081],4549.225208526648,0.8572407352674978,0.23996599120258466,905.4515014461861,[0],1,SNACKPACK_VANILLA + 0.823*SNACKPACK_CHOCOLATE
SNACKPACK_CHOCOLATE,1,['SNACKPACK_VANILLA'],[-1.041111093300906],5752.131221984455,0.8572407352674978,0.38704140825271555,1057.9318909891147,[1],0,SNACKPACK_CHOCOLATE + 1.041*SNACKPACK_VANILLA
