a,b,ols_h,int_h,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,int_adf_p,int_half_life
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.5036534841338649,1,0.8824332000692415,0.9968074212030212,1.1296123277374481,0.004638106270147181,774.8275369554922
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.023069924072503294,1,0.9997591685348957,1.3649703615695925,1.3652991685686646,0.00517479575965429,773.7142906030318
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,-0.29814299063255073,-1,0.9497064950955103,1.2022289370177872,1.2658952457694639,0.00790771516215607,826.274759480583
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-0.22754657180491053,-1,0.8973904332428009,1.7461173610156944,1.9457722038621947,0.009474689500199834,866.0167660229947
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.05447121989053224,1,0.9989377122154044,1.279724576076745,1.2810854575092803,0.013776656582963837,898.2925249313959
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.29871267538249974,-1,0.8409996221973158,1.5233712129906085,1.8113815663917079,0.021123307250456438,1069.101088816823
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.13960560215181989,1,0.95872684026136,1.9974514569276791,2.083441678114645,0.06193101520601098,1498.7624360722095
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.5491469557125456,-1,0.8675435592889953,0.9588381656547655,1.1052334552983043,0.09791689414146343,1618.7215054851667
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,-0.8855450798280023,-1,0.910453726033359,0.912021812184864,1.0017223128498105,0.16435827527240732,6162.684928685912
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-1.041111093300906,-1,0.37783497023502494,0.3795997134346892,1.0046706719565066,0.3983867351713163,1110.1287026178206
