target,k,basket,ols_beta,int_coefs,int_basket_str,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,max_abs_coef,int_adf_p,int_half_life
SNACKPACK_RASPBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[-0.8700887118750107, -0.6773670714689477, -0.358527273815311]","[1, 1, 0]",SNACKPACK_RASPBERRY − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.8634405232241075,1.0228706698683252,1.1846451983153419,1,0.0011104478097640597,619.8186465860567
SNACKPACK_CHOCOLATE,3,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[0.37157003454157006, -0.1981135086710531, 0.0830793303419275]","[1, 0, 1]",SNACKPACK_CHOCOLATE − SNACKPACK_PISTACHIO − SNACKPACK_RASPBERRY,0.7995936596650459,0.9194096456088735,1.1498460930693462,1,0.0039201668992988456,747.8703058425976
SNACKPACK_STRAWBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO']","[-3.521028363338531, -3.0876156535891, -0.0027796330235351783]","[-4, -4, 0]",SNACKPACK_STRAWBERRY + 4*SNACKPACK_CHOCOLATE + 4*SNACKPACK_VANILLA,0.6153374229289107,0.6556950643131226,1.0655861969065943,4,0.0043819088117657825,385.5856428605497
SNACKPACK_RASPBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO']","[1.305543227316246, 1.1260987623811805, -0.772261913612786]","[2, 2, -1]",SNACKPACK_RASPBERRY − 2*SNACKPACK_CHOCOLATE − 2*SNACKPACK_VANILLA + SNACKPACK_PISTACHIO,0.6919690570891025,0.7835010721114356,1.1322776128276308,2,0.007805562899798294,723.9563675576296
SNACKPACK_PISTACHIO,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_RASPBERRY']","[1.4386821032564296, 1.1826029009348706, -0.6547962840440896]","[2, 2, -1]",SNACKPACK_PISTACHIO − 2*SNACKPACK_CHOCOLATE − 2*SNACKPACK_VANILLA + SNACKPACK_RASPBERRY,0.5770863464504175,0.7096152256379212,1.229651732366693,2,0.007805562899798294,723.9563675576296
SNACKPACK_VANILLA,3,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[-0.28148231491270764, 0.060500492026101214, -0.07792931920784299]","[-1, 0, -1]",SNACKPACK_VANILLA + SNACKPACK_PISTACHIO + SNACKPACK_RASPBERRY,0.9348872841081726,1.182438337440781,1.2647924060372235,1,0.014933738554063783,851.0433870070099
SNACKPACK_PISTACHIO,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[1.1764019447127545, 0.8966323327985004, -0.0013152963037136773]","[1, 1, 0]",SNACKPACK_PISTACHIO − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.8207925014563695,0.8684131538409804,1.0580178940476617,1,0.04328840977401354,1197.9040709311214
SNACKPACK_STRAWBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_PISTACHIO', 'SNACKPACK_RASPBERRY']","[-0.2628821881860914, -1.4823405986876272, -1.6852483934484361]","[0, -2, -2]",SNACKPACK_STRAWBERRY + 2*SNACKPACK_PISTACHIO + 2*SNACKPACK_RASPBERRY,0.5085347102909102,0.5432230911606023,1.0682124153331605,2,0.06356004306478787,787.391800003284
SNACKPACK_STRAWBERRY,3,"['SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO', 'SNACKPACK_RASPBERRY']","[0.07796374748239629, -1.637021463552449, -1.786309050708752]","[0, -2, -2]",SNACKPACK_STRAWBERRY + 2*SNACKPACK_PISTACHIO + 2*SNACKPACK_RASPBERRY,0.521084556808428,0.5432230911606023,1.0424854931179879,2,0.06356004306478787,787.391800003284
SNACKPACK_PISTACHIO,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[0.11999694372335275, -0.36077001449104185, -0.8751614469023115]","[0, 0, -1]",SNACKPACK_PISTACHIO + SNACKPACK_RASPBERRY,0.486478666422064,0.9588381656547655,1.9709768009084434,1,0.09791689414146343,1618.7215054851667
