a,b,pearson_level,pearson_ret,spearman_ret,kendall_ret,abs_level,abs_ret,joint_score,par_minus_spear
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9258729584924743,-0.9159263257745487,-0.9124215292320802,-0.789951724302063,0.9258729584924743,0.9159263257745487,0.9208862128439231,0.0035047965424684913
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.47043771895490305,0.024861690029625037,0.021717204648211547,0.027390155896951866,0.47043771895490305,0.024861690029625037,0.10814747684019567,0.00314448538141349
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.5410357062744585,0.016796615750091587,0.014683477997227435,0.021131996253473014,0.5410357062744585,0.016796615750091587,0.09532874102479008,0.0021131377528641523
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.04608087579302776,0.030729349704220504,0.027472399662879288,0.010174057290039826,0.04608087579302776,0.030729349704220504,0.03763024510843238,0.0032569500413412167
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,-0.3131414587266761,0.0397091810415346,0.03606555591808823,0.012465321796451826,0.3131414587266761,0.0397091810415346,0.11151049670855123,0.0036436251234463687
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.2843287635159864,0.03110640581843242,0.029401995998258598,0.01145039774880824,0.2843287635159864,0.03110640581843242,0.09404491428982949,0.0017044098201738217
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.02194549909241893,0.014429816462454849,0.013194354336045344,0.015957091008837854,0.02194549909241893,0.014429816462454849,0.01779521070627079,0.001235462126409504
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-0.4412373627927814,0.9132915988764274,0.9066808688010415,0.7557717062527165,0.4412373627927814,0.9132915988764274,0.6348057786040054,0.006610730075385929
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.49736120952103047,-0.8309456090275332,-0.8238057628121325,-0.6544297999293439,0.49736120952103047,0.8309456090275332,0.6428686593326223,0.007139846215400758
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,-0.41361094370422663,-0.9237847012818318,-0.919435544919712,-0.7828133872098685,0.41361094370422663,0.9237847012818318,0.618132236723426,0.004349156362119744
