a,b,hedge_ratio,level_corr,resid_std_ratio,eg_p,adf_p,half_life
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-0.22754657180491053,-0.441237362792747,0.8973904332428009,0.028124460023333745,0.008177962771100358,806.1858636656713
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.29871267538249974,-0.5410357062745232,0.8409996221973158,0.03539566392396228,0.00834073239423606,801.9003296027965
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.5036534841338649,0.4704377189549727,0.8824332000692415,0.046270155648024655,0.012246591909706488,876.1864707033196
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,-0.29814299063255073,-0.3131414587265658,0.9497064950955103,0.05707918394931512,0.0145287576918953,879.0568995279452
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.13960560215181989,0.284328763515879,0.95872684026136,0.08097598382867288,0.021390919163804405,968.9360900625652
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.023069924072503294,0.02194549909238751,0.9997591685348957,0.12004548823710154,0.03622520849662423,1075.1044143807947
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.05447121989053224,0.04608087579304326,0.9989377122154044,0.18720829047582926,0.06775337844034438,1300.29817123929
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.5491469557125456,-0.49736120952098933,0.8675435592889953,0.3570195410421393,0.16037523306451057,2750.4457341674756
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,-0.8855450798280023,-0.4136109437043141,0.910453726033359,0.36226248929038146,0.16104835118393934,6138.896105197708
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-1.041111093300906,-0.9258729584924154,0.37783497023502494,0.6264765551338882,0.39220666181644515,1057.9318909891188
