a,b,group_a,group_b,corr,abs_corr,cross_group,label
PEBBLES_XS,UV_VISOR_AMBER,pebbles,uv_visors,0.932002508668349,0.932002508668349,True,spearman_level
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,-0.9225484066959349,0.9225484066959349,False,spearman_level
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,sleep_pods,uv_visors,-0.912459840167692,0.912459840167692,True,spearman_level
MICROCHIP_OVAL,UV_VISOR_AMBER,microchips,uv_visors,0.9088469707346256,0.9088469707346256,True,spearman_level
MICROCHIP_OVAL,PEBBLES_XS,microchips,pebbles,0.9053361542474984,0.9053361542474984,True,spearman_level
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,sleep_pods,sleep_pods,0.8953597089566733,0.8953597089566733,False,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,galaxy_sounds,pebbles,-0.8861646410356507,0.8861646410356507,True,spearman_level
SLEEP_POD_COTTON,UV_VISOR_AMBER,sleep_pods,uv_visors,-0.882149339761059,0.882149339761059,True,spearman_level
PEBBLES_XS,PANEL_2X4,pebbles,panels,-0.8787589158372763,0.8787589158372763,True,spearman_level
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,sleep_pods,microchips,0.878133172419022,0.878133172419022,True,spearman_level
MICROCHIP_OVAL,OXYGEN_SHAKE_GARLIC,microchips,oxygen_shakes,-0.8667738138467295,0.8667738138467295,True,spearman_level
MICROCHIP_OVAL,ROBOT_VACUUMING,microchips,robots,0.8667517144456063,0.8667517144456063,True,spearman_level
PEBBLES_S,UV_VISOR_AMBER,pebbles,uv_visors,0.8629328083373814,0.8629328083373814,True,spearman_level
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,uv_visors,snackpacks,-0.8583418919256889,0.8583418919256889,True,spearman_level
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,sleep_pods,snackpacks,0.8582311227396714,0.8582311227396714,True,spearman_level
PEBBLES_XS,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,-0.857221552320631,0.857221552320631,True,spearman_level
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,pebbles,oxygen_shakes,-0.8563275484491831,0.8563275484491831,True,spearman_level
UV_VISOR_AMBER,OXYGEN_SHAKE_GARLIC,uv_visors,oxygen_shakes,-0.8551746129460539,0.8551746129460539,True,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,galaxy_sounds,oxygen_shakes,0.8547013588864142,0.8547013588864142,True,spearman_level
SLEEP_POD_POLYESTER,MICROCHIP_OVAL,sleep_pods,microchips,-0.8410680605926778,0.8410680605926778,True,spearman_level
PEBBLES_S,ROBOT_DISHES,pebbles,robots,-0.836895665410674,0.836895665410674,True,spearman_level
ROBOT_DISHES,UV_VISOR_AMBER,robots,uv_visors,-0.8368792912439708,0.8368792912439708,True,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_AMBER,galaxy_sounds,uv_visors,-0.8365666715026752,0.8365666715026752,True,spearman_level
PEBBLES_XL,PANEL_2X4,pebbles,panels,0.8359600671963484,0.8359600671963484,True,spearman_level
SLEEP_POD_POLYESTER,PEBBLES_XS,sleep_pods,pebbles,-0.832447543671358,0.832447543671358,True,spearman_level
ROBOT_VACUUMING,UV_VISOR_AMBER,robots,uv_visors,0.8304064360570721,0.8304064360570721,True,spearman_level
MICROCHIP_OVAL,PEBBLES_S,microchips,pebbles,0.8300797369402279,0.8300797369402279,True,spearman_level
MICROCHIP_OVAL,ROBOT_IRONING,microchips,robots,0.8294395938096715,0.8294395938096715,True,spearman_level
PEBBLES_M,ROBOT_IRONING,pebbles,robots,-0.8274791237191644,0.8274791237191644,True,spearman_level
ROBOT_MOPPING,PANEL_1X4,robots,panels,-0.8231342443994725,0.8231342443994725,True,spearman_level
UV_VISOR_AMBER,PANEL_2X4,uv_visors,panels,-0.8215704326901015,0.8215704326901015,True,spearman_level
PEBBLES_XS,ROBOT_VACUUMING,pebbles,robots,0.8211198507265848,0.8211198507265848,True,spearman_level
MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,microchips,microchips,-0.8211050962256125,0.8211050962256125,False,spearman_level
SLEEP_POD_POLYESTER,MICROCHIP_SQUARE,sleep_pods,microchips,0.8192264655017194,0.8192264655017194,True,spearman_level
PEBBLES_XS,PEBBLES_S,pebbles,pebbles,0.8182470772761077,0.8182470772761077,False,spearman_level
PEBBLES_S,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,-0.8182423984072605,0.8182423984072605,True,spearman_level
SLEEP_POD_COTTON,PEBBLES_XS,sleep_pods,pebbles,-0.8174758396326383,0.8174758396326383,True,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,galaxy_sounds,robots,0.816268416979758,0.816268416979758,True,spearman_level
MICROCHIP_OVAL,ROBOT_DISHES,microchips,robots,-0.8129919112327447,0.8129919112327447,True,spearman_level
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,galaxy_sounds,panels,-0.8118825663578859,0.8118825663578859,True,spearman_level
MICROCHIP_RECTANGLE,TRANSLATOR_ASTRO_BLACK,microchips,translators,0.8107887562719689,0.8107887562719689,True,spearman_level
SLEEP_POD_POLYESTER,ROBOT_VACUUMING,sleep_pods,robots,-0.8095667903719567,0.8095667903719567,True,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,galaxy_sounds,panels,0.8094077726100517,0.8094077726100517,True,spearman_level
ROBOT_IRONING,UV_VISOR_AMBER,robots,uv_visors,0.8088231207394996,0.8088231207394996,True,spearman_level
PEBBLES_XS,SNACKPACK_STRAWBERRY,pebbles,snackpacks,-0.8060029802695126,0.8060029802695126,True,spearman_level
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,-0.8058260329530729,0.8058260329530729,False,spearman_level
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,galaxy_sounds,sleep_pods,0.8046129571322392,0.8046129571322392,True,spearman_level
SLEEP_POD_COTTON,MICROCHIP_SQUARE,sleep_pods,microchips,0.8041937927931198,0.8041937927931198,True,spearman_level
PEBBLES_S,PANEL_2X4,pebbles,panels,-0.8023560800021564,0.8023560800021564,True,spearman_level
MICROCHIP_OVAL,SNACKPACK_PISTACHIO,microchips,snackpacks,0.8019944916451129,0.8019944916451129,True,spearman_level
MICROCHIP_SQUARE,UV_VISOR_AMBER,microchips,uv_visors,-0.7995567969649421,0.7995567969649421,True,spearman_level
