a,b,group_a,group_b,cross_group,ols_h,int_h,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,int_adf_p,int_half_life
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,pebbles,oxygen_shakes,True,-0.9036442168037813,-1,0.5142409148729431,0.522309292017397,1.015689877858994,0.0002895012160691956,533.9768537128944
SLEEP_POD_NYLON,UV_VISOR_RED,sleep_pods,uv_visors,True,0.6553573451114414,1,0.6532871274213157,0.765055471217177,1.1710860953851001,0.000642755985654639,762.3795899876104
PEBBLES_XL,ROBOT_DISHES,pebbles,robots,True,2.560504481139122,3,0.5969557182202099,0.6126328206820217,1.0262617510534153,0.0008969035714269063,401.20341476349654
ROBOT_DISHES,PANEL_2X4,robots,panels,True,0.7013185846236112,1,0.6128386628737408,0.6991631818885118,1.140860106002411,0.001069833661924125,427.72317912642774
PEBBLES_M,SNACKPACK_PISTACHIO,pebbles,snackpacks,True,-2.5589817152431795,-3,0.7165227239323816,0.7265379794519028,1.0139775825455417,0.0013133082413338368,682.3839248651957
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,sleep_pods,translators,True,-0.7161872915730921,-1,0.7873855167313422,0.8244118823063165,1.0470244432850138,0.0025200221479877156,725.9777376983332
SLEEP_POD_LAMB_WOOL,PANEL_1X2,sleep_pods,panels,True,0.41530033051460585,1,0.8052321956652758,1.1598846733200854,1.440435044157417,0.002551852766179957,1113.3159165535835
ROBOT_LAUNDRY,UV_VISOR_RED,robots,uv_visors,True,-0.8371036961893802,-1,0.5988678584019536,0.6188127005321528,1.0333042454197174,0.0030188468447507996,813.5346409347051
MICROCHIP_CIRCLE,TRANSLATOR_SPACE_GRAY,microchips,translators,True,-0.7296290005877196,-1,0.7249608061623989,0.7685795245706943,1.0601670021848386,0.003127729421015543,989.0901329812555
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,microchips,oxygen_shakes,True,0.7880518166127398,1,0.5583275288565789,0.6012618588470345,1.0768981068842918,0.003477600457067508,684.3062954411943
PEBBLES_M,ROBOT_IRONING,pebbles,robots,True,-0.7284386604086752,-1,0.5772527048130626,0.6526018410770461,1.1305305902176492,0.003964849842704345,761.4882548480774
UV_VISOR_MAGENTA,TRANSLATOR_VOID_BLUE,uv_visors,translators,True,0.870330865449637,1,0.569954699213988,0.5829537298212166,1.0228071294528414,0.004256157338987073,736.0776917847683
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,snackpacks,snackpacks,False,0.5036534841338661,1,0.8824332000692415,0.9968074212030202,1.129612327737447,0.004638106270147181,774.8275369554922
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_LAMB_WOOL,galaxy_sounds,sleep_pods,True,-0.25100269053765306,-1,0.973100276389258,1.1914410546393321,1.2243764425391386,0.005102071244722198,1151.68373863371
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,snackpacks,snackpacks,False,0.023069924072503523,1,0.9997591685348957,1.3649703615695952,1.3652991685686673,0.00517479575965429,773.7142906030318
PEBBLES_XL,PANEL_2X4,pebbles,panels,True,2.482033838631204,2,0.48184556375306636,0.5110140555838129,1.0605349390446908,0.005665836700414535,794.5672171807472
MICROCHIP_TRIANGLE,PEBBLES_S,microchips,pebbles,True,0.8337022500902036,1,0.5523462976196556,0.5768323587404598,1.044330995294668,0.0057568896396645785,747.8436230398208
GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_M,galaxy_sounds,pebbles,True,0.6154002725158064,1,0.6229669042389686,0.7918865820366338,1.2711535342379408,0.005942279018625009,773.5279186507772
PEBBLES_S,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,True,-0.7726983166508582,-1,0.46741924723021927,0.5348911291677516,1.1443498151549165,0.005967836148574485,775.6937302648784
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,sleep_pods,snackpacks,True,2.352961468536318,2,0.48388909691344484,0.5013800928984037,1.0361467040620003,0.005987348269811373,816.8460562647015
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,sleep_pods,uv_visors,True,-0.9226324406151635,-1,0.338623243474302,0.3476939839552192,1.0267871171153247,0.006054026549381354,823.1024943261056
PEBBLES_S,ROBOT_DISHES,pebbles,robots,True,-1.240485717012532,-1,0.559760645210221,0.5823566242115896,1.0403672162284339,0.006141615433456601,570.1706744310969
PANEL_2X4,OXYGEN_SHAKE_CHOCOLATE,panels,oxygen_shakes,True,0.6892460507412724,1,0.787692812408242,0.8352311679534752,1.0603513892679717,0.006856198707473046,1112.4745819942784
UV_VISOR_RED,PANEL_1X2,uv_visors,panels,True,0.4632131735768464,1,0.8853379403412853,1.036400410782859,1.1706269025174063,0.006906950357385941,1455.572728398923
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_PISTACHIO,galaxy_sounds,snackpacks,True,0.21446914663849037,1,0.9960020914055862,1.0483659471080022,1.0525740419164369,0.007827333517841175,1323.466643214131
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,snackpacks,snackpacks,False,-0.2981429906325525,-1,0.94970649509551,1.2022289370177848,1.2658952457694619,0.00790771516215607,826.274759480583
UV_VISOR_RED,OXYGEN_SHAKE_CHOCOLATE,uv_visors,oxygen_shakes,True,0.6886545920313982,1,0.7539915946032781,0.8103711971453745,1.074774842247096,0.008023533529764162,1026.4421791522393
PEBBLES_M,ROBOT_MOPPING,pebbles,robots,True,0.6962325441398437,1,0.6300595678278118,0.7153785000616772,1.135414072875697,0.008316626711019097,895.0053729515963
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,galaxy_sounds,microchips,True,-0.9682007751898358,-1,0.5397075998957181,0.540415384422516,1.0013114221977504,0.00856217017941741,960.8679179671334
SLEEP_POD_LAMB_WOOL,OXYGEN_SHAKE_EVENING_BREATH,sleep_pods,oxygen_shakes,True,0.2991253338587379,1,0.9571895069330411,1.17312034235419,1.2255883854316574,0.009066918721062675,1072.9310445995277
MICROCHIP_OVAL,PEBBLES_S,microchips,pebbles,True,1.6353363916692518,2,0.4785208916156283,0.5170306913255588,1.080476736511775,0.009075829586688714,860.1765880952894
ROBOT_MOPPING,OXYGEN_SHAKE_MORNING_BREATH,robots,oxygen_shakes,True,-0.96047566018026,-1,0.5762069696599454,0.5771876910300077,1.0017020296902015,0.009095116871764316,1017.3045346497196
MICROCHIP_CIRCLE,PANEL_2X4,microchips,panels,True,0.3942356621098916,1,0.8856625939379626,1.1372921975598924,1.2841145209747398,0.00931482291624937,1445.6975735746887
