target,target_group,k,basket,basket_groups,n_groups,cross_group,ols_beta,resid_var,r_squared,S_idx,target_idx,adf_p,half_life,basket_str
PEBBLES_S,pebbles,4,"['PEBBLES_XS', 'PEBBLES_M', 'PEBBLES_L', 'PEBBLES_XL']",['pebbles'],1,False,"[-0.9999260066862885, -0.9999516547631443, -0.9999269819240659, -0.9999458730634406]",7.830461714533158,0.9999887223737002,"[15, 17, 18, 19]",16,0.0,0.7022799204028073,PEBBLES_S + 1.000*PEBBLES_XS + 1.000*PEBBLES_M + 1.000*PEBBLES_L + 1.000*PEBBLES_XL
PEBBLES_M,pebbles,4,"['PEBBLES_XS', 'PEBBLES_S', 'PEBBLES_L', 'PEBBLES_XL']",['pebbles'],1,False,"[-0.9999671920378359, -0.9999929837777671, -0.9999446509371273, -0.9999655981565074]",7.830785355588887,0.9999834471151297,"[15, 16, 18, 19]",17,0.0,0.7022757201846052,PEBBLES_M + 1.000*PEBBLES_XS + 1.000*PEBBLES_S + 1.000*PEBBLES_L + 1.000*PEBBLES_XL
PEBBLES_XS,pebbles,4,"['PEBBLES_S', 'PEBBLES_M', 'PEBBLES_L', 'PEBBLES_XL']",['pebbles'],1,False,"[-1.0000012629656276, -1.0000011203577734, -0.9999819266223026, -0.9999934149074454]",7.8310510497540236,0.9999962729087531,"[16, 17, 18, 19]",15,0.0,0.7022688823767888,PEBBLES_XS + 1.000*PEBBLES_S + 1.000*PEBBLES_M + 1.000*PEBBLES_L + 1.000*PEBBLES_XL
PEBBLES_XL,pebbles,4,"['PEBBLES_XS', 'PEBBLES_S', 'PEBBLES_M', 'PEBBLES_L']",['pebbles'],1,False,"[-0.999993723208223, -1.0000214391472821, -0.9999998347250278, -0.9999858592943769]",7.831053464207798,0.9999975186856339,"[15, 16, 17, 18]",19,0.0,0.7022623375310852,PEBBLES_XL + 1.000*PEBBLES_XS + 1.000*PEBBLES_S + PEBBLES_M + 1.000*PEBBLES_L
PEBBLES_L,pebbles,4,"['PEBBLES_XS', 'PEBBLES_S', 'PEBBLES_M', 'PEBBLES_XL']",['pebbles'],1,False,"[-0.9999869786873017, -1.0000072904444184, -0.9999836305403415, -0.9999906030793336]",7.831090613675769,0.9999797794506308,"[15, 16, 17, 19]",18,0.0,0.7022747100433279,PEBBLES_L + 1.000*PEBBLES_XS + 1.000*PEBBLES_S + 1.000*PEBBLES_M + 1.000*PEBBLES_XL
SNACKPACK_PISTACHIO,snackpacks,4,"['GALAXY_SOUNDS_BLACK_HOLES', 'MICROCHIP_RECTANGLE', 'OXYGEN_SHAKE_GARLIC', 'SNACKPACK_STRAWBERRY']","['galaxy_sounds', 'microchips', 'oxygen_shakes', 'snackpacks']",4,False,"[-0.072674745909721, 0.18098339674723732, -0.127035498829157, 0.4201297725977907]",3406.571796967568,0.90309359593968,"[1, 13, 44, 48]",47,1.8662524161484406e-08,280.75221930974135,SNACKPACK_PISTACHIO + 0.073*GALAXY_SOUNDS_BLACK_HOLES − 0.181*MICROCHIP_RECTANGLE + 0.127*OXYGEN_SHAKE_GARLIC − 0.420*SNACKPACK_STRAWBERRY
SNACKPACK_PISTACHIO,snackpacks,4,"['SLEEP_POD_NYLON', 'MICROCHIP_CIRCLE', 'OXYGEN_SHAKE_GARLIC', 'SNACKPACK_RASPBERRY']","['microchips', 'oxygen_shakes', 'sleep_pods', 'snackpacks']",4,False,"[-0.0945425049631685, 0.15757278251136445, -0.1655796707735112, -0.5922269807106586]",2900.643808425357,0.9174856783630534,"[8, 10, 44, 49]",47,3.673257241263898e-07,245.30544108495857,SNACKPACK_PISTACHIO + 0.095*SLEEP_POD_NYLON − 0.158*MICROCHIP_CIRCLE + 0.166*OXYGEN_SHAKE_GARLIC + 0.592*SNACKPACK_RASPBERRY
SNACKPACK_PISTACHIO,snackpacks,4,"['GALAXY_SOUNDS_PLANETARY_RINGS', 'PEBBLES_XS', 'UV_VISOR_YELLOW', 'SNACKPACK_RASPBERRY']","['galaxy_sounds', 'pebbles', 'snackpacks', 'uv_visors']",4,False,"[0.11277598492984794, 0.1258190720038243, -0.06237419330024647, -0.6261236952049453]",2981.0566594869597,0.9151981821055095,"[2, 15, 25, 49]",47,5.584550324632863e-07,270.2304493223167,SNACKPACK_PISTACHIO − 0.113*GALAXY_SOUNDS_PLANETARY_RINGS − 0.126*PEBBLES_XS + 0.062*UV_VISOR_YELLOW + 0.626*SNACKPACK_RASPBERRY
SNACKPACK_PISTACHIO,snackpacks,4,"['GALAXY_SOUNDS_PLANETARY_RINGS', 'MICROCHIP_CIRCLE', 'PEBBLES_XS', 'SNACKPACK_RASPBERRY']","['galaxy_sounds', 'microchips', 'pebbles', 'snackpacks']",4,False,"[0.11599325390269666, 0.07834832881576483, 0.1342342439359641, -0.6146574232123843]",3164.789900525204,0.9099715411431162,"[2, 10, 15, 49]",47,7.846468474371053e-07,285.72615486311685,SNACKPACK_PISTACHIO − 0.116*GALAXY_SOUNDS_PLANETARY_RINGS − 0.078*MICROCHIP_CIRCLE − 0.134*PEBBLES_XS + 0.615*SNACKPACK_RASPBERRY
SNACKPACK_PISTACHIO,snackpacks,4,"['MICROCHIP_RECTANGLE', 'UV_VISOR_AMBER', 'OXYGEN_SHAKE_GARLIC', 'SNACKPACK_STRAWBERRY']","['microchips', 'oxygen_shakes', 'snackpacks', 'uv_visors']",4,False,"[0.11145260578525812, 0.11995541621796839, -0.14930453666280055, 0.5218543610974296]",3199.711923027011,0.90897811789392,"[13, 26, 44, 48]",47,1.1929032070963216e-06,367.3235133419679,SNACKPACK_PISTACHIO − 0.111*MICROCHIP_RECTANGLE − 0.120*UV_VISOR_AMBER + 0.149*OXYGEN_SHAKE_GARLIC − 0.522*SNACKPACK_STRAWBERRY
