target,k,basket,ols_beta,resid_var,r_squared,adf_p,half_life,S_idx,target_idx,basket_str
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_CHOCOLATE'],[1.0982401908785262],529800.8275231111,0.41706086091024774,0.01868731709159241,1584.374917615196,[3],4,OXYGEN_SHAKE_GARLIC − 1.098*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_GARLIC'],[0.3797537773377462],183196.59684610722,0.41706086091024774,0.04397386757985957,1418.5074786564433,[4],3,OXYGEN_SHAKE_CHOCOLATE − 0.380*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_MINT'],[-0.24021731550934594],144953.28987211955,0.0932025798282814,0.08489798732472614,1390.9550538282938,[2],1,OXYGEN_SHAKE_EVENING_BREATH + 0.240*OXYGEN_SHAKE_MINT
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.1969568982600836],143321.05709913778,0.10341348617587365,0.09356957224616913,1394.193232183403,[0],1,OXYGEN_SHAKE_EVENING_BREATH + 0.197*OXYGEN_SHAKE_MORNING_BREATH
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_CHOCOLATE'],[0.08116174375646867],157781.77258366748,0.012950278981492369,0.1368352020122769,1595.5203232282804,[3],1,OXYGEN_SHAKE_EVENING_BREATH − 0.081*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_GARLIC'],[-0.05694743693950887],156904.50808002343,0.01843826196838738,0.16713395527999747,1651.6983694171793,[4],1,OXYGEN_SHAKE_EVENING_BREATH + 0.057*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_GARLIC'],[-0.38202549772264527],293500.4010702878,0.31125872231110596,0.3045081321710521,2919.469416617032,[4],0,OXYGEN_SHAKE_MORNING_BREATH + 0.382*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_EVENING_BREATH'],[-0.387992762431213],234124.78505858546,0.0932025798282814,0.3112584980739528,2745.991132319139,[1],2,OXYGEN_SHAKE_MINT + 0.388*OXYGEN_SHAKE_EVENING_BREATH
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.8147590256844146],625958.4824561244,0.31125872231110596,0.33418737284534006,3421.2270037270264,[0],4,OXYGEN_SHAKE_GARLIC + 0.815*OXYGEN_SHAKE_MORNING_BREATH
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_MORNING_BREATH'],[0.18747614483176836],243210.94925586053,0.05801061904854621,0.4206166784452918,3493.7597400435043,[0],2,OXYGEN_SHAKE_MINT − 0.187*OXYGEN_SHAKE_MORNING_BREATH
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_CHOCOLATE'],[-0.22372357554618416],242459.0312109902,0.06092290081785301,0.46571992308838195,3532.1980570115775,[3],2,OXYGEN_SHAKE_MINT + 0.224*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_GARLIC'],[-0.17108246553123302],231587.48125389917,0.1030299056438958,0.4942376663879783,3615.386610795425,[4],2,OXYGEN_SHAKE_MINT + 0.171*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_CHOCOLATE'],[-0.4039197901483873],374867.7853109697,0.1203183488745817,0.5239083571193569,4235.481989276197,[3],0,OXYGEN_SHAKE_MORNING_BREATH + 0.404*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_EVENING_BREATH'],[-0.5250564315818733],382071.62823840074,0.10341348617587365,0.5306758404041932,3879.296216651744,[1],0,OXYGEN_SHAKE_MORNING_BREATH + 0.525*OXYGEN_SHAKE_EVENING_BREATH
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.29787683547364807],276451.98956066155,0.1203183488745816,0.6432195689019605,3851.163853950181,[0],3,OXYGEN_SHAKE_CHOCOLATE + 0.298*OXYGEN_SHAKE_MORNING_BREATH
