target,k,basket,ols_beta,int_coefs,int_basket_str,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,max_abs_coef,int_adf_p,int_half_life
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_CHOCOLATE'],[1.0982401908785262],[1],OXYGEN_SHAKE_GARLIC − OXYGEN_SHAKE_CHOCOLATE,0.7635045115058274,0.7656868460631718,1.002858312589457,1,0.026834435242203712,1731.1018713307408
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_GARLIC'],[0.3797537773377462],[1],OXYGEN_SHAKE_CHOCOLATE − OXYGEN_SHAKE_GARLIC,0.7635045115058274,1.3021133800743498,1.7054429416615327,1,0.026834435242203712,1731.1018713307408
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_MINT'],[-0.24021731550934594],[-1],OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT,0.9522591139872165,1.3561668317106037,1.4241573661943543,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_EVENING_BREATH'],[-0.387992762431213],[-1],OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_EVENING_BREATH,0.9522591139872165,1.0670959237383015,1.120594077876819,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_GARLIC'],[-0.38202549772264527],[-1],OXYGEN_SHAKE_MORNING_BREATH + OXYGEN_SHAKE_GARLIC,0.8299043786418373,1.2260573491966533,1.4773477291481845,1,0.27104261920082706,2988.451710002589
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.8147590256844146],[-1],OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH,0.8299043786418373,0.8395418885562634,1.0116127955972447,1,0.27104261920082706,2988.451710002589
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.1969568982600836],[-1],OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MORNING_BREATH,0.9468825237716273,1.6173223155653016,1.7080495995671936,1,0.3219612146562848,2423.294850516412
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_EVENING_BREATH'],[-0.5250564315818733],[-1],OXYGEN_SHAKE_MORNING_BREATH + OXYGEN_SHAKE_EVENING_BREATH,0.9468825237716273,0.9905563484522604,1.0461238047848547,1,0.3219612146562848,2423.294850516412
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_MORNING_BREATH'],[-0.29787683547364807],[-1],OXYGEN_SHAKE_CHOCOLATE + OXYGEN_SHAKE_MORNING_BREATH,0.9379134560957202,1.2442493300685078,1.3266142222204391,1,0.47360308691533815,3193.9403867381297
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_CHOCOLATE'],[-0.4039197901483873],[-1],OXYGEN_SHAKE_MORNING_BREATH + OXYGEN_SHAKE_CHOCOLATE,0.9379134560957201,1.0685090755537623,1.139240586228154,1,0.47360308691533815,3193.9403867381297
