target,k,basket,ols_beta,int_coefs,int_basket_str,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,max_abs_coef,int_adf_p,int_half_life
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.5543127021141231, 0.8743423205640041]","[-1, 1]",OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH − OXYGEN_SHAKE_CHOCOLATE,0.6754284678338903,0.7552779953494116,1.1182205537939496,1,0.010310269099041465,1310.149636426078
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.32282573382269186, 1.0260164634293927]","[0, 1]",OXYGEN_SHAKE_GARLIC − OXYGEN_SHAKE_CHOCOLATE,0.7450748619586202,0.7656868460631718,1.0276643128857788,1,0.026834435242203712,1731.1018713307408
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.5055607150262554, 1.1392723800848243]","[0, 1]",OXYGEN_SHAKE_GARLIC − OXYGEN_SHAKE_CHOCOLATE,0.7338709854655469,0.7656868460631718,1.0433534793277621,1,0.026834435242203712,1731.1018713307408
OXYGEN_SHAKE_MINT,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-0.45171412830623014, -0.19680642736763726]","[-1, 0]",OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_EVENING_BREATH,0.8791865337159614,1.0670959237383015,1.2137309692723843,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[-0.3060441035540314, -0.10930621673682855]","[-1, 0]",OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT,0.9197098889717946,1.3561668317106037,1.4745593670051254,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_MINT,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.35691730095743757, -0.1947555450236262]","[-1, 0]",OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_EVENING_BREATH,0.9280235787484886,1.0670959237383015,1.1498586330935285,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.23226622712121997, 0.02919831294628725]","[-1, 0]",OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT,0.9514323213556231,1.3561668317106037,1.425394955868543,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_MINT,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH']","[0.12386790575542855, -0.32295512184774794]","[0, -1]",OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_EVENING_BREATH,0.9402617846883966,1.0670959237383015,1.1348923683971033,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT']","[-0.16127770131878408, -0.19031326344648414]","[0, -1]",OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT,0.9173221554284686,1.3561668317106037,1.4783975549758273,1,0.13688556854099665,1707.775787736792
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT']","[-0.745078949893507, -0.37167435810798777]","[-1, 0]",OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH,0.8073251375774287,0.8395418885562634,1.0399055466989529,1,0.27104261920082706,2988.451710002589
