a,b,mean,std,min,max,frac_above_0.5,frac_above_0.3
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,0.009241474485262323,0.018871523550260054,-0.056233637279460263,0.06245332460017115,0.0,0.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,0.00816086806339875,0.018516809418076114,-0.04308036874427865,0.061505614168390156,0.0,0.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.0027709748638853936,0.02209627664619707,-0.06201720708613903,0.05212776273455471,0.0,0.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,0.013256025690319717,0.02729867715780013,-0.06080182061218591,0.08062610806481832,0.0,0.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,0.0040955879295311555,0.024740783071987238,-0.06937868850777208,0.07437758379325692,0.0,0.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.007810723441321401,0.022681664495380123,-0.06421455072269358,0.07295802753284464,0.0,0.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,0.005531965658648936,0.02499017086551389,-0.06427470473630718,0.07078185967370466,0.0,0.0
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,0.008906783943934876,0.02438894497224183,-0.05802655816809509,0.0783859756345917,0.0,0.0
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,0.003730802861052457,0.021358088943553503,-0.057836954565197614,0.06618181672320846,0.0,0.0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.007442139420982395,0.023250471760452505,-0.0473459243916155,0.07227711650359427,0.0,0.0
